电影排名,电影名称,演员列表,年代,类型,评分,评论人数,海报图片
115,小情人,"查理·瑞纳,霍嘉丝·芝华顾,Charwin Jitsomboon,Chaleumpol Tikumpornteerawong,Wongsakorn Rassamitat",2003-08-01,"儿童,喜剧",8.6,49778,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p450895244.webp
116,大佛普拉斯,"陈竹昇,庄益增,戴立忍,纳豆,张少怀,丁国琳,雷婕熙,林美秀,陈以文,郑宇彤,梁赫群,游安顺,李永丰,朱约信,小亮哥,脱线",2017-06-29,"剧情,喜剧",8.6,49515,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505928032.webp
117,热天午后,"阿尔·帕西诺,约翰·凯泽尔,查尔斯·德恩,克里斯·萨兰登,詹姆斯·布罗德里克,Penelope Allen,约翰·马里奥特,苏利伯维尔,比尤拉加里克,卡洛·凯恩,Sandra Kazan,玛西娅·让·库尔茨,Amy Levitt,Carmine Foresta,埃斯特尔奥曼斯,加里·斯普林格",1975-09-21,"剧情,喜剧,犯罪",8.6,36893,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2121496968.webp
118,内布拉斯加,"布鲁斯·邓恩,威尔·福特,琼·斯奎布,鲍勃·奥登科克,斯泰西·基齐,玛丽·路易丝·威尔逊,兰斯·霍华德,蒂姆·德里斯科尔,戴文·雷特瑞,安吉拉·迈克伊万,格伦多拉·斯蒂特,伊丽莎白·穆尔,凯文·孔克尔,丹尼斯·麦科伊格,罗纳德·沃斯塔,米茜·多蒂",2013-05-23,"剧情,喜剧,家庭",8.6,33072,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2158863675.webp
119,面子,"陈冲,杨雅慧,陈凌,王进,Guang Lan Koh",2004-09-12,"剧情,喜剧,爱情,同性",8.6,28918,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2047680289.webp
120,亚当斯一家的价值观,克里斯汀·芭伦斯基,1993-11-19,"喜剧,家庭,奇幻,惊悚",8.6,14798,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p652970475.webp
121,开罗紫玫瑰,"米亚·法罗,杰夫·丹尼尔斯,丹尼·爱罗",1985-03-01,"喜剧,奇幻,爱情",8.6,12635,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2218755965.webp
122,音乐会,"梅拉尼·罗兰,阿列克塞·古斯科夫,Dimitry Nazarov,Valeri Barinov,弗朗索瓦·贝莱昂,缪缪,利昂尔·阿贝兰斯基,朗齐·贝迪亚",2009-11-04,"喜剧,剧情,音乐",8.6,12572,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p767824526.webp
123,笑之大学,"役所广司,稻垣吾郎,高桥昌也,小松政夫,木村多江,加藤爱,八岛智人",2004-10-30,"喜剧,剧情",8.6,12446,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p886358101.webp
124,芭萨提的颜色,"阿米尔·汗,悉塔尔特,沙尔曼·乔希,库纳尔·卡普尔,阿图尔·库尔卡尼,彭雅思,苏哈.阿里汗,斯蒂文·麦金托什,马达范,瓦希达·拉赫曼,阿努潘·凯尔,凯伦·凯尔,欧姆·普瑞,Lekh Tandon,Cyrus Sahukar",2006-01-26,"剧情,喜剧,历史",8.6,10436,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p488068976.webp
125,霹雳五号,"艾丽·西蒂,斯蒂夫·古根伯格,费舍·史蒂芬斯,奥斯汀·潘德尔顿,G.W.拜利,布莱恩·麦克纳玛拉,Tim Blaney,Marvin J. McIntyre,John Garber,Penny Santon,Vernon Weddle,芭芭拉·塔拉布克,Tom Lawrence,Fred Slyter,Billy Ray Sharkey",1986-05-09,"喜剧,家庭,科幻",8.6,10259,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1402862965.webp
126,敲开天堂的门,"蒂尔·施威格,扬·约瑟夫·利费斯,蒂埃里·范·维凡客,莫里兹·布雷多,休伯·史塔普,Leonard Lansink,Ralph Herforth,科奈莉亚·弗洛波伊斯,鲁特格尔·哈尔,Willi Thomczyk,克里斯蒂安娜·保罗,汉恩斯·詹尼可,Vladimir Weigl,珍妮·爱娃-艾瓦仓庚,科琳娜·哈弗奇",1997-02-20,"动作,犯罪,喜剧,剧情",8.6,9456,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1609250116.webp
127,意大利人在俄罗斯的奇遇,"安德烈·米罗诺夫,尼内托·达沃利,安冬尼娅·桑提利,阿利耶罗·隆歇热,塔诺·希玛罗萨",1974-01-31,"喜剧,冒险",8.6,8502,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1399525376.webp
128,广播时间,"西村雅彦,铃木京香,唐泽寿明,户田惠子,井上顺,细川俊之,奥贯薫,梶原善,茂吕师冈,近藤芳正,布施明,藤村俊二,并木史郎,田口浩正,梅野泰靖,渡边谦",1997-11-08,喜剧,8.6,7884,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p803245998.webp
129,天堂陌影,"约翰·劳瑞,Eszter Balint,Richard Edson,Cecillia Stark,Danny Rosen,Rammellzee",1984-11-09,"喜剧,剧情",8.6,7077,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1730030247.webp
130,玩乐时间,"雅克·塔蒂,Barbara Dennek,France Rumilly,France Delahalle",1967-12-16,喜剧,8.6,6750,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2192795338.webp
131,爵士春秋,"罗伊·沙伊德尔,杰西卡·兰格,利兰·帕尔默,安·赖因肯斯,克里夫·戈曼,本·沃伦,伊丽莎白·福尔迪,迈克尔·托兰,马克斯·怀特,威廉·勒马萨纳,伊雷娜 · 凯恩,狄波拉·盖夫娜,凯瑟琳·多比,安东尼·霍兰德,罗伯特·希特,大卫·马古利斯,基斯·戈登,阿兰·海姆",1979-12-20,"剧情,喜剧,音乐,歌舞",8.6,5090,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192967650.webp
132,早安,"杉村春子,笠智众,久我美子,三宅邦子,佐田启二,设乐幸嗣,岛津雅彦,高桥丰子,泽村贞子,东野英治郎,长冈辉子,三好荣子,田中春男,大泉滉",1959-05-12,喜剧,8.6,4095,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2200572533.webp
133,落叶,"山口胜平,本田贵子,水谷优子,飞田展男,高木渉,岩田光央,梁田清之",2004-01-17,"动画,动作,冒险,喜剧,科幻",8.6,3966,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453769222.webp
134,飞出个未来大电影1：班德大行动,"比利·维斯特,凯特蕾·萨加尔,约翰·迪·玛吉欧,特蕾丝·麦克尼尔,莫里斯·拉马奇,菲尔·拉马,劳伦·汤姆,大卫·赫尔曼,达恩·刘易斯,凯斯·索西,弗兰克·维尔克,库里奥,阿尔·戈尔,马克·哈米尔,汤姆·肯尼,萨拉·西尔弗曼,催眠蛤蟆",2007-11-27,"喜剧,爱情,动画",8.6,3245,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2191175944.webp
135,自由的幻影,"让-克洛德·布里亚利,米歇尔·皮科利,莫尼卡·维蒂,阿德里娅娜·阿斯蒂,朱利安·贝尔托",1974-09-11,"喜剧,剧情",8.6,2988,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1563624888.webp
136,母亲的城堡,"菲利普·科贝尔,娜莎丽·罗赛,Didier Pain,泰蕾兹·利奥塔尔,Julien Ciamaca,Victorien Delamare,Joris Molinas,皮埃尔·马格隆",1990-10-26,"冒险,传记,喜剧,剧情,爱情",8.6,2438,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2157181143.webp
137,木更津猫眼 日本篇,"冈田准一,櫻井翔,冈田义德,佐藤隆太,塚本高史,酒井若菜",2003-11-01,"喜剧,剧情,运动",8.6,2431,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2166334936.webp
